type,weight,date,description,event_or_notes,referral_agency
Out,16.62,21-Aug-19,Distributed to other organisation (Red Box Project),,
Out,97.66,21-Aug-19,Supplied to 'Stanley',,
In,46.54,21-Aug-19,Donation from 'Tesco - Newton Aycliffe',,
Out,26.82,21-Aug-19,Supplied to 'Durham Elvet ',,
Out,251.8,21-Aug-19,Supplied to 'Ferryhill',,
In,35,21-Aug-19,Donation from 'Cornerstone Church',,
Out,145.44,21-Aug-19,Supplied to 'Durham Drop In',,
Out,174.52,21-Aug-19,Supplied to 'Newton Aycliffe',,
Out,156.62,21-Aug-19,Supplied to 'Annfield Plain',,
Out,36.04,21-Aug-19,Distributed to other organisation (A Way Out),,
Out,239.85,20-Aug-19,Supplied to 'Spennymoor',,
In,20.98,20-Aug-19,"Donation from 'St Cuthberts C of E Church, Durham'",,
In,30.14,20-Aug-19,"Donation from 'Christ Church, Lumley'",,
In,13,20-Aug-19,"Donation from 'St Bede's RC Church, Sacriston '",,
In,3.5,20-Aug-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,15.26,20-Aug-19,Donation from 'Elvet Methodist Church',,
In,15.4,20-Aug-19,Donation from 'Sacriston Methodist Church',,
In,30.9,20-Aug-19,Donation from 'Sunderland Foodbank',,
Out,96.32,20-Aug-19,Supplied to 'Shildon ',,
Out,309.42,20-Aug-19,Distributed to other organisation (A Way Out),,
Out,129.04,20-Aug-19,Supplied to 'Peterlee',,
Out,64.64,20-Aug-19,Distributed to other organisation (PAD B),,
Out,6.82,20-Aug-19,Supplied to 'Peterlee',,
In,97.18,19-Aug-19,Donation from 'Tesco - Chester le Street',,
In,21.98,19-Aug-19,Donation from 'Sainsbury's Newcastle Road',,
In,127.54,19-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,98.38,19-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,15.16,19-Aug-19,"Donation from 'Rotary Club, Stanley'",,
In,1.5,19-Aug-19,Donation from 'Anonymous',,
In,65.5,19-Aug-19,Donation from 'Anonymous',,
Out,113.03,16-Aug-19,Supplied to 'Chester le Street',,
In,9,16-Aug-19,"Donation from 'Aldi, Chester le Street'",,
In,47.38,15-Aug-19,Donation from 'Tesco - Newton Aycliffe',,
In,254.36,15-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,106.8,15-Aug-19,Donation from 'Tesco - Chester le Street',,
In,116.74,15-Aug-19,Donation from 'N Power',,
In,23.56,15-Aug-19,"Donation from 'St Oswald's C of E Church, Durham'",,
In,89.3,15-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
Out,12.58,15-Aug-19,Supplied to 'Stanley',,
Out,207.34,15-Aug-19,Supplied to 'Chester le Street',,
Out,264.26,15-Aug-19,Supplied to 'Shildon ',,
Out,183.68,15-Aug-19,Supplied to 'Ferryhill',,
Out,23.3,15-Aug-19,Distributed to other organisation (Refuse Cafe),,
In,32.1,14-Aug-19,Donation from 'Anonymous',,
In,14.1,14-Aug-19,"Donation from 'McColl's, West Auckland'",,
In,10.7,14-Aug-19,"Donation from 'St John The Evangelist, Lynesack'",,
In,10,14-Aug-19,"Donation from 'St Paul's C of E Church, Evenwood'",,
In,3,14-Aug-19,Donation from 'Anonymous',,
In,0.9,14-Aug-19,Donation from 'Anonymous',,
In,36.4,14-Aug-19,Donation from 'Tesco  - Bishop Auckland',,
In,9.5,14-Aug-19,"Donation from 'The Pathway, Middleton-in-Teesdale'",,
In,15,14-Aug-19,Donation from 'Anonymous',,
In,5.6,14-Aug-19,Donation from 'Gainford Village',,
In,9,14-Aug-19,"Donation from 'St Mary's C of E Church, Gainford'",,
In,68.3,14-Aug-19,"Donation from 'Asda, Bishop Auckland'",,
In,4.2,14-Aug-19,Donation from 'Anonymous',,
In,8.7,14-Aug-19,Donation from 'Anonymous',,
In,2.8,14-Aug-19,Donation from 'West Auckland Community Church (The Well)',,
In,7.6,14-Aug-19,Donation from 'Herons',,
In,19.5,14-Aug-19,"Donation from 'St Mary's Catholic Church, Barnard Castle'",,
In,9,14-Aug-19,"Donation from 'St Osmunds RC Church, Gainford'",,
Out,258.9,14-Aug-19,"Supplied to 'The Well, West Auckland'",,
Out,3.3,14-Aug-19,For disposal (OOD/damaged),,
In,5,14-Aug-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
In,29.4,14-Aug-19,"Donation from 'Asda, Spennymoor'",,
In,10,14-Aug-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
In,36.9,14-Aug-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,36.8,14-Aug-19,"Donation from 'Byers Green Methodist Church, Spennymoor'",,
In,2.7,14-Aug-19,"Donation from 'Whitworth C of E Church, Spennymoor'",,
In,74.95,14-Aug-19,"Donation from 'Asda, Spennymoor'",,
In,13.05,14-Aug-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
In,1.75,14-Aug-19,Donation from 'Anonymous',,
Out,88.63,14-Aug-19,Supplied to 'Newton Aycliffe',,
Out,66.28,14-Aug-19,Distributed to other organisation (Play Cafe),,
Out,142.72,14-Aug-19,Distributed to other organisation (Play Cafe),,
Out,244.08,14-Aug-19,Supplied to 'Durham Drop In',,
In,36.26,14-Aug-19,"Donation from 'St Charles RC Church, Tudhoe'",,
In,70.62,14-Aug-19,Donation from 'Willington Foodbank',,
In,8.22,14-Aug-19,Donation from 'Elvet Methodist Church',,
In,6.96,14-Aug-19,"Donation from 'St Bede's RC Church, Sacriston '",,
In,107.92,14-Aug-19,Donation from 'Lanchester Wines',,
Out,346.19,13-Aug-19,Supplied to 'Peterlee',,
Out,55.08,13-Aug-19,"Distributed to other organisation (One Point, Peterlee (Sanitary items))",,
Out,109.9,13-Aug-19,Supplied to 'Durham Elvet ',,
In,14.72,13-Aug-19,"Donation from 'St Aidan's C of E Church , Framwellgate Moor'",,
In,4.8,13-Aug-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,16.24,13-Aug-19,Donation from 'Sainsbury's Newcastle Road',,
In,3.9,13-Aug-19,Donation from 'Peterlee Foodbank',,
In,4.58,13-Aug-19,Donation from 'Epicurium',,
In,26.98,13-Aug-19,"Donation from 'Santander, Durham'",,
In,31.16,13-Aug-19,Donation from 'Tesco - Durham Dragonville',,
Out,115.4,12-Aug-19,Supplied to 'Esh Winning',,
Out,195.4,12-Aug-19,Supplied to 'Spennymoor',,
In,3.2,12-Aug-19,"Donation from 'Whitworth C of E Church, Spennymoor'",,
In,18.4,12-Aug-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,14,12-Aug-19,"Donation from 'Slimming World, Spennymoor'",,
In,37.35,12-Aug-19,Donation from 'Anonymous',,
In,4.55,12-Aug-19,Donation from 'Rainbow Nursery',,
In,89.3,12-Aug-19,"Donation from 'Hays Travel, Spennymoor'",,
In,9.2,12-Aug-19,"Donation from 'St Paul's Centre, Spennymoor'",,
In,19.4,12-Aug-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
In,47.28,12-Aug-19,"Donation from 'Aldi, Chester le Street'",,
Out,119.34,12-Aug-19,Supplied to 'Spennymoor',,
In,36.58,12-Aug-19,"Donation from 'St Brandon's Church, Brancepeth'",,
In,62.13,12-Aug-19,"Donation from 'St Cuthbert's RC Church, Chester-le-Street'",,
In,127.3,12-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,9,12-Aug-19,Donation from 'Anonymous',,
In,16.56,12-Aug-19,"Donation from 'Rotary, Chester le Street'",,
Out,44.09,11-Aug-19,Supplied to 'Ferryhill',,
In,44.09,11-Aug-19,Donation from 'Anonymous',,
In,10.6,09-Aug-19,Donation from 'Anonymous',,
In,4.6,09-Aug-19,"Donation from 'Joanne Banks Dancers, Spennymoor'",,
In,15.85,09-Aug-19,"Donation from 'St Andrews Church, Spennymoor'",,
In,55,09-Aug-19,"Donation from 'Aldi, Chester le Street'",,
In,65.98,08-Aug-19,Donation from 'Anonymous',,
In,10.98,08-Aug-19,Donation from 'Elvet Methodist Church',,
In,52.32,08-Aug-19,Donation from 'Give Food',,
In,244.74,08-Aug-19,Donation from 'Tesco - Chester le Street',,
In,74.24,08-Aug-19,Donation from 'Trimdon and Sedgefield Churches',,
In,49.44,08-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,110.52,08-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,81.66,08-Aug-19,Donation from 'Lumley Hospital ',,
In,65.26,08-Aug-19,Donation from 'Wingate Medical Centre',,
Out,166.14,07-Aug-19,Supplied to 'Willington',,
Out,57.28,07-Aug-19,Supplied to 'Stanley',,
Out,219.04,07-Aug-19,Supplied to 'Durham Drop In',,
In,41.54,07-Aug-19,Donation from 'Trimdon and Sedgefield Churches',,
In,50.5,07-Aug-19,Donation from 'Tesco - Newton Aycliffe',,
Out,72.81,06-Aug-19,Supplied to 'Tow Law (EFB Point)',,
In,21.76,06-Aug-19,Donation from 'Anonymous',,
In,22.92,06-Aug-19,"Donation from 'St Cuthbert's RC Church, Chester-le-Street'",,
In,25.38,06-Aug-19,"Donation from 'Christ Church, Lumley'",,
In,120.68,06-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,8.28,06-Aug-19,Donation from 'Anonymous',,
In,10.48,06-Aug-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
Out,240.61,05-Aug-19,"Supplied to 'The Well, West Auckland'",,
Out,3.2,05-Aug-19,For disposal (OOD/damaged),,
In,11.3,05-Aug-19,Donation from 'Gainford Village',,
In,15.5,05-Aug-19,"Donation from 'St Mary's C of E Church, Gainford'",,
In,34,05-Aug-19,Donation from 'St Cuthbert's RC Cotherstone',,
In,1.51,05-Aug-19,Donation from 'Anonymous',,
In,29.3,05-Aug-19,Donation from 'Tesco  - Bishop Auckland',,
In,15.7,05-Aug-19,Donation from 'Anonymous',,
In,43.4,05-Aug-19,"Donation from 'Asda, Bishop Auckland'",,
In,16.2,05-Aug-19,Donation from 'Herons',,
In,7.1,05-Aug-19,"Donation from 'Holy Trinity C of E Church, Eggleston'",,
In,12.6,05-Aug-19,"Donation from 'St Osmunds RC Church, Gainford'",,
In,10.2,05-Aug-19,Donation from 'Anonymous',,
In,9.4,05-Aug-19,"Donation from 'St Paul's C of E Church, Evenwood'",,
In,30.9,05-Aug-19,"Donation from 'St John the Evangelist C of E Church, Ingleton'",,
In,6.7,05-Aug-19,Donation from 'West Auckland Community Church (The Well)',,
In,17.35,05-Aug-19,Donation from 'Sainsbury Local Chilton',,
In,16.2,05-Aug-19,Donation from 'Anonymous',,
In,10.5,05-Aug-19,"Donation from 'St Teresa's RC Church, Annfield Plain'",,
In,47.95,05-Aug-19,Donation from 'Anonymous',,
Out,4.94,05-Aug-19,For disposal (OOD/damaged),,
Out,104.84,05-Aug-19,Supplied to 'Chester le Street',,
In,159.44,05-Aug-19,"Donation from 'Esh Winning, Catholic Church'",,
In,123.76,05-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,38.56,05-Aug-19,Donation from 'Anonymous',,
In,16.8,05-Aug-19,Donation from 'Sainsbury's Newcastle Road',,
In,70.77,05-Aug-19,"Donation from 'Asda, Stanley'",,
In,15.8,05-Aug-19,"Donation from 'St Bede's RC Church, Sacriston '",,
In,13.76,05-Aug-19,Donation from 'Anonymous',,
In,10.62,05-Aug-19,"Donation from 'Rotary, Chester le Street'",,
In,4.16,05-Aug-19,"Donation from 'Emmanuel Church, Durham'",,
In,34.34,05-Aug-19,Donation from 'Anonymous',,
In,28.18,05-Aug-19,Donation from 'Cathedral Collection Point',,
Out,218.64,02-Aug-19,Supplied to 'Peterlee',,
Out,24.5,01-Aug-19,Distributed to other organisation (Refuse Cafe),,
Out,47.39,01-Aug-19,Supplied to 'Stanley',,
Out,107.5,01-Aug-19,Supplied to 'Trimdon Village',,
Out,182.04,01-Aug-19,Supplied to 'Newton Aycliffe',,
Out,145.6,01-Aug-19,Distributed from 'Durham' to 'Sunderland',,
Out,379.16,01-Aug-19,Distributed to other organisation (Veterans Reponse),,
In,24.78,01-Aug-19,"Donation from 'St Oswald's C of E Church, Durham'",,
In,0.66,01-Aug-19,Donation from 'Anonymous',,
In,111.72,01-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,78.46,01-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,46.4,01-Aug-19,Donation from 'Electrolux',,
In,12.3,31-Jul-19,"Donation from 'St Joseph's RC Church, Stanley'",,
In,49.45,31-Jul-19,Donation from 'Anonymous',,
In,31.44,31-Jul-19,"Donation from 'Royal Oak, Cornsay Colliery'",,
In,34.88,31-Jul-19,"Donation from 'St Andrew's Methodist Church, Coxhoe'",,
In,34.48,31-Jul-19,Donation from 'Anonymous',,
In,30.28,31-Jul-19,Donation from 'Anonymous',,
Out,86.35,31-Jul-19,Supplied to 'Brandon',,
In,3.4,31-Jul-19,Donation from 'Anonymous',,
In,19.15,31-Jul-19,Donation from 'Witton Gilbert Methodist Church',,
In,10.75,31-Jul-19,"Donation from 'St Patricks RC Church, Langley Moor'",,
Out,116.28,31-Jul-19,Supplied to 'Willington',,
In,19.45,30-Jul-19,Donation from 'Wolsingham Methodist Church',,
Out,972.67,30-Jul-19,Supplied to 'Consett',,
In,63.28,30-Jul-19,Donation from 'Tesco - Newton Aycliffe',,
In,36.78,30-Jul-19,Donation from 'St Cuthbert's Ropery Lane',,
In,39.74,30-Jul-19,"Donation from 'All Saints C of E & Methodist Church, Newton Hall'",,
In,8.5,30-Jul-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,34.28,30-Jul-19,Donation from 'Sainsbury's Newcastle Road',,
In,32.42,30-Jul-19,Donation from 'Community Shop Framwellgate Moor',,
In,69.08,30-Jul-19,Donation from 'Sainsbury's Sunderland Road',,
Out,38.9,29-Jul-19,"Supplied to 'The Well, West Auckland'",,
In,20.1,29-Jul-19,Donation from 'Barnard Castle Methodist Church',,
In,8.1,29-Jul-19,"Donation from 'St Mary's C of E Church, Gainford'",,
In,10.7,29-Jul-19,Donation from 'Gainford Village',,
In,77.1,29-Jul-19,Donation from 'Tesco  - Bishop Auckland',,
In,52.2,29-Jul-19,"Donation from 'Asda, Bishop Auckland'",,
In,3.9,29-Jul-19,Donation from 'Anonymous',,
In,15.4,29-Jul-19,"Donation from 'St Osmunds RC Church, Gainford'",,
In,48.06,29-Jul-19,Donation from 'Anonymous',,
In,21.6,29-Jul-19,"Donation from 'St Mary's RC Church, Barnard Castle'",,
In,28.5,29-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
In,10.65,29-Jul-19,"Donation from 'St Teresa's RC Church, Annfield Plain'",,
Out,775.14,29-Jul-19,Distributed to other organisation (Beyond Limits),,
Out,63.74,29-Jul-19,Distributed to other organisation (Pad B),,
Out,138.94,29-Jul-19,Distributed to other organisation (Play Cafe),,
Out,93.04,29-Jul-19,Distributed to other organisation (Make Lunch),,
In,1.2,29-Jul-19,Donation from 'Anonymous',,
Out,188.25,29-Jul-19,Supplied to 'Spennymoor',,
In,37.83,29-Jul-19,"Donation from 'Aldi, Chester le Street'",,
Out,54.32,29-Jul-19,Supplied to 'Dawdon',,
In,41.38,29-Jul-19,Donation from 'Co-op Esh Winning',,
In,7.42,29-Jul-19,"Donation from 'Rotary, Chester le Street'",,
In,81.02,29-Jul-19,Donation from 'Anonymous',,
In,39.44,29-Jul-19,"Donation from 'Asda, Stanley'",,
In,337.58,29-Jul-19,Donation from 'Tesco - Durham Dragonville',,
In,13.92,29-Jul-19,Donation from 'Cathedral Collection Point',,
In,145.4,29-Jul-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,17.44,29-Jul-19,"Donation from 'St Barnabas C of E Church, Bournmoor'",,
In,50.24,29-Jul-19,"Donation from 'St Cuthberts C of E Church, Durham'",,
In,42.12,29-Jul-19,Donation from 'Belmont Library',,
Out,68.14,28-Jul-19,Supplied to 'Stanley',,
In,31.3,26-Jul-19,"Donation from 'St Joseph's RC Church, Stanley'",,
In,16.2,26-Jul-19,Donation from 'Lanchester Methodist NWC Church',,
Out,248.58,26-Jul-19,Supplied to 'Durham Drop In',,
In,46.42,26-Jul-19,"Donation from 'Aldi, Chester le Street'",,
In,36.65,26-Jul-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,49.55,26-Jul-19,Donation from 'Anonymous',,
In,4.5,26-Jul-19,"Donation from 'Whitworth C of E Church, Spennymoor'",,
In,37.1,26-Jul-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,20.1,26-Jul-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
Out,92.62,26-Jul-19,Supplied to 'Peterlee',,
In,15.55,25-Jul-19,"Donation from 'Rotary Club, Crook'",,
Out,147.92,25-Jul-19,Supplied to 'Laurel Avenue',,
Out,217.18,25-Jul-19,Supplied to 'Ferryhill',,
In,20.86,25-Jul-19,"Donation from 'St Oswald's C of E Church, Durham'",,
In,77.72,25-Jul-19,Donation from 'Tesco - Durham Dragonville',,
In,31.96,25-Jul-19,Donation from 'Elvet Methodist Church',,
In,266.22,25-Jul-19,Donation from 'Trimdon and Sedgefield Churches',,
In,11.34,25-Jul-19,Donation from 'Cornerstones Centre',,
In,210.94,25-Jul-19,Donation from 'Tesco - Chester le Street',,
In,62.78,25-Jul-19,Donation from 'Durham City Gymnastics',,
In,229.36,25-Jul-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
Out,116.72,25-Jul-19,"Supplied to 'The Well, West Auckland'",,
Out,1.54,25-Jul-19,For disposal (OOD/damaged),,
In,4.04,25-Jul-19,Donation from 'Anonymous',,
In,7.4,24-Jul-19,"Donation from 'St Andrews C of E Church, Stanley'",,
In,8.7,24-Jul-19,"Donation from 'St Patrick's RC VA Primary School, Dipton'",,
In,8.7,24-Jul-19,Donation from 'South Moor Methodist NWC Church',,
In,22.8,24-Jul-19,Donation from 'Willington Foodbank',,
In,81.7,24-Jul-19,Donation from 'Tesco - Newton Aycliffe',,
Out,479.61,23-Jul-19,Distributed from 'Durham' to 'Sunderland',,
In,11.55,23-Jul-19,Donation from 'Anonymous',,
In,11.9,23-Jul-19,"Donation from 'St John (the Evangelist) C of E Church, Meadowfield, Brandon'",,
In,29.6,23-Jul-19,"Donation from 'St Patricks RC Church, Langley Moor'",,
Out,25,23-Jul-19,For disposal (OOD/damaged),,
Out,110.62,23-Jul-19,Supplied to 'Trimdon Village',,
In,21.02,23-Jul-19,"Donation from 'St Cuthbert's RC Church, Chester-le-Street'",,
In,14.78,23-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
In,4.04,23-Jul-19,Donation from 'Anonymous',,
In,38,23-Jul-19,"Donation from 'Christ Church, Lumley'",,
In,30.06,23-Jul-19,Donation from 'Cathedral Collection Point',,
In,8.16,23-Jul-19,"Donation from 'St Bede's RC Church, Sacriston '",,
In,23.08,23-Jul-19,Donation from 'Anonymous',,
In,20.92,23-Jul-19,Donation from 'Sainsbury's Newcastle Road',,
In,7.45,22-Jul-19,"Donation from 'St Margaret of Antioch, C of E Church, Tanfield Lea'",,
In,10.75,22-Jul-19,Donation from 'Annfield Plain Central Methodist Church',,
Out,261.7,22-Jul-19,"Supplied to 'The Well, West Auckland'",,
Out,6,22-Jul-19,For disposal (OOD/damaged),,
In,4.7,22-Jul-19,Donation from 'Anonymous',,
In,2.6,22-Jul-19,Donation from 'Anonymous',,
In,34.2,22-Jul-19,Donation from 'Tesco  - Bishop Auckland',,
In,3,22-Jul-19,Donation from 'Anonymous',,
In,8.3,22-Jul-19,"Donation from 'St Mary's C of E Church, Gainford'",,
In,2.3,22-Jul-19,Donation from 'Gainford Village',,
In,61.1,22-Jul-19,"Donation from 'Asda, Bishop Auckland'",,
In,7,22-Jul-19,Donation from 'Anonymous',,
In,17.3,22-Jul-19,"Donation from 'St Paul's C of E Church, Evenwood'",,
In,4.5,22-Jul-19,Donation from 'Anonymous',,
In,5.2,22-Jul-19,"Donation from 'St Osmunds RC Church, Gainford'",,
In,4.7,22-Jul-19,Donation from 'Anonymous',,
In,11.1,22-Jul-19,Donation from 'Anonymous',,
In,45,22-Jul-19,Donation from 'Anonymous',,
In,15.6,22-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
In,24.1,22-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
In,17,22-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
Out,408.52,22-Jul-19,Supplied to 'Newton Aycliffe',,
Out,266.96,22-Jul-19,Supplied to 'Chester le Street',,
Out,209.2,22-Jul-19,Supplied to 'Shildon ',,
Out,47.8,22-Jul-19,Supplied to 'Chester le Street',,
Out,53.02,22-Jul-19,Distributed to other organisation (British Red Cross),,
Out,79.76,22-Jul-19,Supplied to 'Willington',,
Out,34.42,22-Jul-19,Supplied to 'Newton Aycliffe',,
In,10.06,22-Jul-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,12.5,22-Jul-19,Donation from 'Esh Winning foodbank',,
In,17.44,22-Jul-19,"Donation from 'St Aidan's C of E Church , Framwellgate Moor'",,
In,5.8,22-Jul-19,Donation from 'Anonymous',,
In,9.22,22-Jul-19,Donation from 'Anonymous',,
In,54.64,22-Jul-19,"Donation from 'Asda, Stanley'",,
In,126.3,22-Jul-19,Donation from 'Tesco - Durham Dragonville',,
In,55.46,22-Jul-19,"Donation from 'St Brandon's Church, Brancepeth'",,
In,19.82,22-Jul-19,Donation from 'Sainsburys Newton Hall',,
In,7.86,22-Jul-19,"Donation from 'Emmanuel Church, Durham'",,
In,87.1,22-Jul-19,Donation from 'Tesco - Annfield Plain',,
In,104,20-Jul-19,"Donation from 'Aldi, Chester le Street'",,
Out,435.49,19-Jul-19,Supplied to 'Stanley',,
In,78.04,19-Jul-19,Donation from 'Consett Academy',,
In,16.16,19-Jul-19,"Donation from 'Christ Church, Consett'",,
In,362.68,19-Jul-19,Donation from 'Anonymous',,
In,1,19-Jul-19,"Donation from 'Trinity Methodist Church, Spennymoor'",,
In,13.4,19-Jul-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,3.3,19-Jul-19,"Donation from 'Whitworth C of E Church, Spennymoor'",,
In,6.3,19-Jul-19,Donation from 'Anonymous',,
Out,263.34,19-Jul-19,Supplied to 'Durham Drop In',,
Out,301.56,19-Jul-19,Supplied to 'Peterlee',,
Out,11.54,18-Jul-19,Distributed to other organisation (British Red Cross),,
In,259.74,18-Jul-19,Donation from 'Nissan',,
In,80.26,18-Jul-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,1.5,18-Jul-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,124.6,18-Jul-19,Donation from 'Tesco - Chester le Street',,
In,15.98,18-Jul-19,Donation from 'Anonymous',,
In,20.56,18-Jul-19,Donation from 'Cathedral Collection Point',,
In,105.2,18-Jul-19,Donation from 'Tesco - Durham Dragonville',,
Out,28,17-Jul-19,Supplied to 'Durham Drop In',,
Out,5.15,17-Jul-19,For disposal (OOD/damaged),,
Out,133.25,17-Jul-19,"Supplied to 'The Well, West Auckland'",,
Out,3.48,17-Jul-19,For disposal (OOD/damaged),,
Out,1.04,17-Jul-19,For disposal (OOD/damaged),,
Out,2.98,17-Jul-19,For disposal (OOD/damaged),,
Out,0.4,17-Jul-19,For disposal (OOD/damaged),,
Out,17.5,17-Jul-19,For disposal (OOD/damaged),,
In,8.98,17-Jul-19,Donation from 'Green Lane Council Offices Spennymoor',,
In,68.22,17-Jul-19,Donation from 'Tesco - Newton Aycliffe',,
In,66.1,17-Jul-19,Donation from 'Belmont Community School',,
In,184.34,17-Jul-19,Donation from 'Lanchester Wines',,
In,10.66,17-Jul-19,"Donation from 'St Oswald's C of E Church, Durham'",,
In,47.18,17-Jul-19,Donation from 'Willington Foodbank',,
In,2.4,17-Jul-19,Donation from 'St John's Meadowfield',,
In,11.5,17-Jul-19,"Donation from 'St Patricks RC Church, Langley Moor'",,
Out,195.75,17-Jul-19,Supplied to 'Brandon',,
In,15.1,16-Jul-19,Donation from 'St Catherines CofE Church - Crook',,
In,5.3,16-Jul-19,"Donation from 'Beyond Limits, Butterknowle'",,
Out,105.66,16-Jul-19,Supplied to 'Ferryhill',,
Out,84.06,16-Jul-19,Supplied to 'Stanley',,
Out,103.78,16-Jul-19,Supplied to 'Brandon',,
Out,48.2,16-Jul-19,Distributed to other organisation (PAD B),,
In,16.72,16-Jul-19,"Donation from 'St Cuthbert's RC Church, Chester-le-Street'",,
In,11.98,16-Jul-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,26.06,16-Jul-19,Donation from 'Sainsbury's Newcastle Road',,
In,34.34,16-Jul-19,Donation from 'Frankland Prison',,
In,15.16,16-Jul-19,Donation from 'St Patrick's Primary School',,
Out,81.1,16-Jul-19,Supplied to 'Chilton',,
Out,68.74,16-Jul-19,Supplied to 'Crook',,
In,48,15-Jul-19,"Donation from 'St James C of E, Burnopfield'",,
In,24.3,15-Jul-19,"Donation from 'Christ Church United Reform Church, Stanley'",,
In,13.9,15-Jul-19,"Donation from 'St Pius X RC Church, Consett '",,
In,34.68,15-Jul-19,"Donation from 'St Patrick's RC Church, Consett'",,
In,49.01,15-Jul-19,Donation from 'st mary's church blackhill',,
In,48.86,15-Jul-19,"Donation from 'St John's C of E Church, Snod's Edge'",,
In,9.3,15-Jul-19,Donation from 'st cuthbert's church benfieldside',,
In,56.06,15-Jul-19,Donation from 'Salvation Army - Leadgate',,
In,6.52,15-Jul-19,Donation from 'Newcastle Building Society-Consett',,
In,211.04,15-Jul-19,"Donation from 'All Saints C of E Parish Church, Lanchester'",,
In,8.96,15-Jul-19,Donation from 'Leadgate Methodist NWC Church',,
In,15.66,15-Jul-19,Donation from 'Consett Library',,
In,27.34,15-Jul-19,Donation from 'Consett Methodist NWC Church',,
In,34.46,15-Jul-19,Purchased,588.09,
In,50.22,15-Jul-19,Donation from 'Tesco  - Bishop Auckland',,
In,24.1,15-Jul-19,"Donation from 'Asda, Bishop Auckland'",,
In,6,15-Jul-19,"Donation from 'St Mary's C of E Church, Gainford'",,
In,2.6,15-Jul-19,Donation from 'Gainford Village',,
In,1.45,15-Jul-19,Donation from 'Anonymous',,
In,13.7,15-Jul-19,"Donation from 'St Mary's Catholic Church, Barnard Castle'",,
In,10,15-Jul-19,Donation from 'West Auckland Community Church (The Well)',,
In,8.65,15-Jul-19,"Donation from 'St Osmunds RC Church, Gainford'",,
In,4.2,15-Jul-19,"Donation from 'St Bede's RC Church, Sacriston '",,
Out,93.9,15-Jul-19,Supplied to 'Willington',,
Out,11.2,15-Jul-19,For disposal (OOD/damaged),,
In,85.12,15-Jul-19,Donation from 'Frankland Prison',,
In,36.66,15-Jul-19,"Donation from 'Asda, Stanley'",,
In,91.98,15-Jul-19,Donation from 'Tesco - Chester le Street',,
In,150.06,15-Jul-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
Out,36.66,15-Jul-19,Supplied to 'Chester le Street',,
Out,415.87,15-Jul-19,Supplied to 'Annfield Plain',,
Out,810.3,15-Jul-19,Distributed from 'Durham' to 'Sunderland',,
In,4.46,15-Jul-19,"Donation from 'Church of Later Day Saints, Stanley'",,
In,1.14,15-Jul-19,"Donation from 'Emmanuel Church, Durham'",,
Out,179.62,12-Jul-19,Supplied to 'Newton Aycliffe',,
In,42.36,12-Jul-19,Donation from 'Anonymous',,
In,137.26,12-Jul-19,Donation from 'Tesco - Newton Aycliffe',179.62,
In,54.85,12-Jul-19,"Donation from 'Asda, Spennymoor'",,
In,22.9,12-Jul-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,55.1,12-Jul-19,"Donation from 'St Paul's C of E Church, Spennymoor'",,
In,58.75,12-Jul-19,Donation from 'Hays Travel',,
